,AGRADECIMENTO,DESPEDIDA,FEEDBACK_NEGATIVO,PEDIDO_AJUDA,SAUDACAO
184,agradeço sua ajuda,abraços,nao quero mais,preciso ajuda solucionar problema sistema exaustao,Oi
185,agradeço sua ajuda,ate logo mano,um absurdo,Qual a melhor forma de substituir um componente defeituoso em minha maquina,Ola estou com problemas em um sistema de iluminaçao
186,obrigado por tudo,ate logo mano,absurdo,melhor forma substituir componente defeituoso maquina,ola problemas sistema iluminaçao
187,obrigado por tudo,bjus,um absurdo,Preciso fazer a manutençao preventiva em minha maquina por onde devo começar,Bom dia Qual e o seu problema eletrico ou mecanico
188,agradeço de coraçao,bjus,isso nao e justo,preciso fazer manutençao preventiva maquina onde devo começar,bom dia problema eletrico mecanico
189,agradeço coraçao,bom findi,nao justo,Como posso otimizar o uso de meu maquinario para reduzir custos,Bom dia Qual e o seu problema eletrico ou mecanico
190,agradeço de coraçao,bom findi,isso nao e justo,posso otimizar uso maquinario reduzir custos,Oi como vai
191,obrigado por ser tao prestativo,later,incompetencia total,Preciso de ajuda para solucionar um vazamento em uma tubulaçao,oi vai
192,obrigado tao prestativo,later,incompetencia total,preciso ajuda solucionar vazamento tubulaçao,Oi como vai
193,obrigado por ser tao prestativo,cya,desperdicio de dinheiro,Estou com problemas em minha maquina de produçao o que pode estar acontecendo,Boa tarde Como resolver um problema em um motor de esteira
194,agradeço sinceramente pela sua atençao,cya,desperdicio dinheiro,problemas maquina produçao pode acontecendo,boa tarde resolver problema motor esteira
195,agradeço sinceramente atençao,vazando,desperdicio de dinheiro,Estou com dificuldades para encontrar uma peça de reposiçao para meu equipamento pode me ajudar,Boa tarde Como resolver um problema em um motor de esteira
196,agradeço sinceramente pela sua atençao,vazando,quanta negligencia,dificuldades encontrar peça reposiçao equipamento pode ajudar,Oi estou precisando de ajuda
197,muito obrigado pela pronta resposta,paz,quanta negligencia,Meu equipamento esta apresentando uma alta taxa de defeitos o que pode estar causando isso,oi precisando ajuda
198,obrigado pronta resposta,paz,quantum negligencia,equipamento apresentando alta taxa defeitos pode causando,Boa noite poderia me orientar
199,muito obrigado pela pronta resposta,sucesso,nao cumpriram o combinado,Meu equipamento esta apresentando uma alta taxon de defeitos o que pode estar causando isso,boa noite poderia orientar
200,obrigado por estar sempre disponivel,sucesso,nao cumpriram combinado,equipamento apresentando alta taxon defeitos pode causando,Boa noite poderia me orientar
201,obrigado sempre disponivel,ate a proxima meu chapa,nao cumpriram o combinado,Minha maquina esta apresentando problemas intermitentes como posso diagnosticar,Bom dia Voce precisa de ajuda com algum problema
202,obrigado por estar sempre disponivel,ate proxima chapa,atendimento pessimo,maquina apresentando problemas intermitentes posso diagnosticar,bom dia voce precisa ajuda algum problema
203,agradeço pela sua dedicaçao,ate a proxima meu chapa,atendimento pessimo,O que fazer quando a maquina apresenta superaquecimento,Bom dia Voce precisa de ajuda com algum problema
204,agradeço pela sua dedicaçao,firmeza,nao resolveram meu problema,fazer maquina apresenta superaquecimento,Ola voce pode resolver meu problema
205,obrigado por resolver meu problema,firmeza,nao resolveram problema,Minha maquina esta parando sem motivo aparente como posso resolver,ola voce pode resolver problema
206,obrigado resolver problema,vida longa e prospera,nao resolveram meu problema,maquina parando motivo aparente posso resolver,Ola voce pode resolver meu problema
207,obrigado por resolver meu problema,vida longa prospera,triste com essa experiencia,Nao consigo solucionar um defeito em um equipamento de mediçao,Ola Em que posso ajudar
208,muito obrigado por sua colaboraçao,vida longa e prospera,triste experiencia,nao consigo solucionar defeito equipamento mediçao,Ola Em que posso ajudar
209,muito obrigado por sua colaboraçao,beijinhos,triste com essa experiencia,Como detectar e resolver problemas no sistema pneumatico,Boa noite
210,agradeço pela rapidez em resolver o assunto,beijinhos,muito insatisfeito,detectar resolver problemas sistema pneumatico,Ola preciso de sua ajuda
211,agradeço rapidez resolver assunto,cuida se,insatisfeito,Como posso identificar a causa de uma falha no sistema eletrico da minha fabrica,ola preciso ajuda
212,agradeço pela rapidez em resolver o assunto,cuida,muito insatisfeito,posso identificar causa falha sistema eletrico fabrica,Oi Qual e o seu problema
213,obrigado por ser tao compreensivo,cuida se,estou com raiva,Estou com problemas no sistema pneumatico de minha fabrica como posso resolver,oi problema
214,obrigado tao compreensivo,ate mais meu parceiro,raiva,problemas sistema pneumatico fabrica posso resolver,Oi Qual e o seu problema
215,obrigado por ser tao compreensivo,ate parceiro,estou com raiva,Como lidar com problemas causados por mau uso de equipamentos,Boa noite posso te pedir um favor
216,agradeço imensamente pela assistencia,ate mais meu parceiro,desperdicio de tempo,lidar problemas causados mau uso equipamentos,boa noite posso pedir favor
217,agradeço imensamente assistencia,valeu demais,desperdicio tempo,Nao sei como resolver um problema em um sistema de filtragem de liquido,Boa noite posso te pedir um favor
218,agradeço imensamente pela assistencia,valeu demais,desperdicio de tempo,nao sei resolver problema sistema filtragem liquido,Oi Como posso ser util para corrigir o seu problema
219,muito obrigado por tudo que voce fez por mim,manda bala,nao entendo como podem agir assim,Minha maquina esta com vazamento de oleo o que devo fazer,oi posso util corrigir problema
220,obrigado tudo voce fez mim,manda bala,nao entendo podem agir assim,maquina vazamento oleo devo fazer,Oi Como posso ser util para corrigir o seu problema
221,muito obrigado por tudo que voce fez por mim,abç,nao entendo como podem agir assim,Minha maquina esta funcionando muito devagar como posso aumentar a produtividade,E ai
222,obrigado por sua paciencia,abç,ma qualidade,maquina funcionando devagar posso aumentar produtividade,ai
223,obrigado por sua paciencia,bom descanso,ma qualidade,O que e preciso fazer para proteger os equipamentos de danos causados por agua,E ai
224,agradeço seu suporte continuo,bom descanso,atendimento horrivel,preciso fazer proteger equipamentos danos causados agua,Bom dia Qual e o problema que voce esta enfrentando
225,agradeço suporte continuo,catch you later,atendimento horrivel,O que e preciso fazer para proteger o equipamentos de danos causados por agua,bom dia problema voce enfrentando
226,agradeço seu suporte continuo,catch you later,uma decepçao,Minha maquina esta produzindo com qualidade inferior o que pode estar errado,Bom dia Qual e o problema que voce esta enfrentando
227,obrigado por ser tao prestativo e atencioso,inte,uma decepçao,maquina produzindo qualidade inferior pode errado,Oi posso ajudar em algo
228,obrigado tao prestativo atencioso,inte,nao recebi o que esperava,Estou com um problema no motor da minha maquina o que devo fazer,oi posso ajudar algo
229,obrigado por ser tao prestativo e atencioso,bora,nao recebi esperava,problema motor maquina devo fazer,Oi posso ajudar em algo
230,agradeço por fazer um otimo trabalho,bora,nao recebi o que esperava,Um software que uso regularmente esta apresentando falhas Como posso corrigi las,Opa
231,agradeço fazer otimo trabalho,show de bola,falta de profissionalismo,software uso regularmente apresentando falhas posso corrigi las,opa
232,agradeço por fazer um otimo trabalho,show bola,falta profissionalismo,Um software que uso regularmente esta apresentando falhas Como posso corrigi la,Oi poderia me ajudar
233,obrigado por tornar as coisas mais faceis para mim,show de bola,falta de profissionalismo,software uso regularmente apresentando falhas posso corrigi la,oi poderia ajudar
234,obrigado tornar coisas faceis mim,vou nessa,total falta de respeito,Meu computador esta lento e travando muito O que posso fazer para melhorar o desempenho,Oi poderia me ajudar
235,obrigado por tornar a coisas mais faceis para mim,vou nessa,total falta respeito,computador lento travando posso fazer melhorar desempenho,Ola preciso que me ajude a resolver um problema
236,agradeço por ser um profissional excepcional,beleza,total falta de respeito,Nao consigo acessar minha conta o que devo fazer,ola preciso ajude resolver problema
237,agradeço profissional excepcional,beleza,serviço deploravel,nao consigo acessar conta devo fazer,Oi ha algo que possa fazer por voce
238,agradeço por ser um profissional excepcional,fica com deus,serviço deploravel,Estou tentando aprender programaçao mas nao sei por onde começar Voce tem alguma sugestao,oi ha algo possa fazer voce
239,obrigado por estar sempre disposto a ajudar,fica deus,isso e inadmissivel,tentando aprender programaçao nao sei onde começar voce alguma sugestao,Oi ha algo que possa fazer por voce
240,obrigado sempre disposto ajudar,fica com deus,inadmissivel,Estou tentando aprender programaçao ma nao sei por onde começar Voce tem alguma sugestao,Boa tarde O que posso fazer por voce
241,obrigado por estar sempre disposto a ajudar,fechou,isso e inadmissivel,tentando aprender programaçao ma nao sei onde começar voce alguma sugestao,boa tarde posso fazer voce
242,agradeço pela sua gentileza,fechou,simplesmente pessimo,Meu computador esta congelando constantemente Como posso resolver esse problema,Boa tarde O que posso fazer por voce
243,agradeço gentileza,de boas,simplesmente pessimo,computador congelando constantemente posso resolver problema,Oi o que precisa de ajuda
244,agradeço pela sua gentileza,boas,estou desanimado,Minha geladeira nao esta gelando adequadamente o que pode ser,Oi o que precisa de ajuda
245,obrigado por sua dedicaçao e comprometimento,de boa,desanimado,geladeira nao gelando adequadamente pode,Boa noite como posso ajudar
246,obrigado dedicaçao comprometimento,boa,estou desanimado,Ola estou com problemas em conectar meu dispositivo a internet Pode me ajudar,boa noite posso ajudar
247,obrigado por sua dedicaçao e comprometimento,paz e amor,nao consigo acreditar,ola problemas conectar dispositivo internet pode ajudar,Boa noite como posso ajudar
248,agradeço por sempre superar minhas expectativas,paz amor,nao consigo acreditar,Ola estou enfrentando um problema no meu dispositivo voce pode me ajudar,Oi qual e o seu nome
249,agradeço sempre superar expectativas,paz e amor,perdi a confiança,ola enfrentando problema dispositivo voce pode ajudar,oi nome
250,agradeço por sempre superar minhas expectativas,abraçao,perdi confiança,Estou tendo problemas para imprimir um documento O que devo verificar,Oi qual e o seu nome
251,obrigado por sua prontidao em resolver problemas,abraçao,perdi a confiança,tendo problemas imprimir documento devo verificar,Ola tudo bem
252,obrigado prontidao resolver problemas,sucesso sempre,nao merecem minha fidelidade,Como faço para consertar um vazamento na minha pia,ola tudo bem
253,obrigado por sua prontidao em resolver problemas,sucesso sempre,nao merecem fidelidade,faço consertar vazamento pia,Ola tudo bem
254,agradeço por sua atençao aos detalhes,ate mais meu camarada,nao merecem minha fidelidade,Nao consigo instalar um programa em meu computador O que pode estar errado,Bom dia Como posso resolver um problema em um ar condicionado industrial
255,agradeço atençao detalhes,ate camarada,nao volto mais,nao consigo instalar programa computador pode errado,bom dia posso resolver problema ar condicionado industrial
256,agradeço por sua atençao aos detalhes,ate mais meu camarada,nao volto,Meu celular esta travando o que posso fazer para consertar,Bom dia Como posso resolver um problema em um ar condicionado industrial
257,obrigado por sua ajuda valiosa,valeuzao,nao volto mais,celular travando posso fazer consertar,Oi prazer em conhece lo
258,obrigado ajuda valiosa,valeuzao,fiquei muito irritado,Perdi minha senha do email e nao consigo recupera la Tem alguma forma de resolver isso,oi prazer conhece lo
259,obrigado por sua ajuda valiosa,siga em frente,fiquei irritado,perdi senha email nao consigo recupera la alguma forma resolver,Hello
260,agradeço por ser um recurso confiavel,siga frente,fiquei muito irritado,Minha impressora nao esta funcionando corretamente Como posso resolver isso,hello
261,agradeço recurso confiavel,siga em frente,isso e inaceitavel,impressora nao funcionando corretamente posso resolver,Oi bom te ver por aqui
262,agradeço por ser um recurso confiavel,bom descanso meu chapa,isso e inaceitavel,Meu carro esta fazendo um barulho estranho o que pode ser,oi bom ver aqui
263,obrigado por sua disponibilidade e flexibilidade,bom descanso chapa,nao consigo entender essa falta de cuidado,carro fazendo barulho estranho pode,Opa tudo tranquilo
264,obrigado disponibilidade flexibilidade,bom descanso meu chapa,nao consigo entender falta cuidado,Ola estou enfrentando um problema com a minha conexao de internet O que devo fazer,opa tudo tranquilo
265,obrigado por sua disponibilidade e flexibilidade,bora partir,nao consigo entender essa falta de cuidado,ola enfrentando problema conexao internet devo fazer,Saudaçoes
266,agradeço por sua orientaçao e suporte,bora partir,estou profundamente desapontado,Meu celular nao esta carregando como posso solucionar,saudaçoes
267,agradeço orientaçao suporte,beijos,profundamente desapontado,celular nao carregando posso solucionar,Qual e o seu nome
268,agradeço por sua orientaçao e suporte,beijos,estou profundamente desapontado,Minha tela do computador esta piscando o que devo fazer,nome
269,obrigado por tornar as coisas mais simples para mim,agradeço,que descaso,tela computador piscando devo fazer,Como voce esta
270,obrigado tornar coisas simples mim,agradeço,descaso,Meu celular nao esta fazendo ligaçoes O que posso fazer para solucionar o problema,voce
271,obrigado por tornar a coisas mais simple para mim,tranquilo,que descaso,celular nao fazendo ligaçoes posso fazer solucionar problema,Bom dia tudo bem com voce
272,obrigado tornar coisas simple mim,tranquilo,uma verdadeira bagunça,Estou tentando acessar um site e nao estou conseguindo O que pode estar errado,bom dia tudo bem voce
273,agradeço por ser um verdadeiro profissional,valeu mesmo,verdadeira bagunça,tentando acessar site nao conseguindo pode errado,Hi
274,agradeço verdadeiro profissional,valeu mesmo,uma verdadeira bagunça,Nao estou conseguindo conectar no Wi Fi o que devo fazer,hi
275,agradeço por ser um verdadeiro profissional,manda ver,nao merecem minha confiança,nao conseguindo conectar wi fi devo fazer,Oi como vai voce
276,obrigado por sua atençao dedicada,manda ver,nao merecem confiança,Nao estou conseguindo conectar na internet o que pode ser,oi vai voce
277,obrigado por sua atençao dedicada,abraçao forte,nao merecem minha confiança,nao conseguindo conectar internet pode,Ola como voce esta
278,agradeço por sua contribuiçao significativa,abraçao forte,pessimo atendimento,Estou tendo problemas com o meu computador pode me ajudar,ola voce
279,agradeço contribuiçao significativa,falou meu caro,pessimo atendimento,tendo problemas computador pode ajudar,Ola prazer em conhece lo
280,agradeço por sua contribuiçao significativa,falou caro,total falta de comprometimento,Preciso recuperar um arquivo que apaguei por engano,ola prazer conhece lo
281,obrigado por seu tempo e esforço,falou meu caro,total falta comprometimento,preciso recuperar arquivo apaguei engano,Oi como esta
282,obrigado tempo esforço,bjks ate logo,total falta de comprometimento,Estou com problemas no meu carro o que fazer para consertar,Alo
283,obrigado por seu tempo e esforço,bjks ate logo,estou extremamente insatisfeito,problemas carro fazer consertar,alo
284,agradeço por sua amabilidade,ate mais parceiro,extremamente insatisfeito,Estou com dificuldades para enviar arquivos por e mail o que pode estar acontecendo,Eai
285,agradeço amabilidade,ate mais parceiro,estou extremamente insatisfeito,dificuldades enviar arquivos mail pode acontecendo,eai
286,agradeço por sua amabilidade,fica na paz beleza,isso nao pode ser ignorado,Meu celular esta com problemas na bateria,Ola como esta
287,obrigado por sempre oferecer soluçoes criativas,fica paz beleza,nao pode ignorado,celular problemas bateria,Tudo bem com voce
288,obrigado sempre oferecer soluçoes criativas,fica na paz beleza,isso nao pode ser ignorado,O meu dispositivo de armazenamento externo nao esta sendo reconhecido pelo meu computador O que posso fazer,tudo bem voce
289,obrigado por sempre oferecer soluçoes criativas,later bro,uma situaçao lamentavel,dispositivo armazenamento externo nao sendo reconhecido computador posso fazer,Oi como posso ajuda lo
290,agradeço por sua resposta rapida,later bro,situaçao lamentavel,Nao consigo conectar meu celular ao Wi Fi,oi posso ajuda lo
291,agradeço resposta rapida,fui valeu demais,uma situaçao lamentavel,nao consigo conectar celular wi fi,Hey
292,agradeço por sua resposta rapida,fui valeu demais,nao sei como lidar com essa incompetencia,Gostaria de saber como posso formatar meu computador sem perder meus arquivos pessoais,hey
293,obrigado por ser um membro valioso da equipe,to de saida se cuida,nao sei lidar incompetencia,gostaria saber posso formatar computador perder arquivos pessoais,Tudo certo
294,obrigado membro valioso equipe,to saida cuida,nao sei como lidar com essa incompetencia,Meu e mail nao esta funcionando como faço para solucionar,tudo certo
295,obrigado por ser um membro valioso da equipe,to de saida se cuida,me sinto lesado e frustrado,mail nao funcionando faço solucionar,Ola como vai
296,agradeço por sua atitude positiva,ate logo meu camarada,sinto lesado frustrado,Nao consigo conectar meu dispositivo a minha rede Wi Fi o que devo tentar,ola vai
297,agradeço atitude positiva,ate logo camarada,me sinto lesado e frustrado,nao consigo conectar dispositivo rede wi fi devo tentar,Prazer em conhece lo
298,agradeço por sua atitude positiva,ate logo meu camarada,estou muito chateado com essa situaçao,Preciso configurar minha impressora pode me orientar,prazer conhece lo
299,obrigado por suas habilidades excepcionais,valeuzao sucesso sempre,chateado situaçao,preciso configurar impressora pode orientar,E ai beleza
300,obrigado habilidades excepcionais,valeuzao sucesso sempre,estou muito chateado com essa situaçao,Estou com dificuldades para usar determinado software,ai beleza
301,obrigado por suas habilidades excepcionais,bora partir meu chapa,nao acredito no que estou vendo,dificuldades usar determinado software,Oi o que voce precisa de auxilio
302,agradeço por sua experiencia e conhecimento,bora partir chapa,nao acredito vendo,Nao estou conseguindo acessar meu e mail o que devo fazer,oi voce precisa auxilio
303,agradeço experiencia conhecimento,bora partir meu chapa,nao acredito no que estou vendo,nao conseguindo acessar mail devo fazer,Boa tarde estou com duvidas
304,agradeço por sua experiencia e conhecimento,valeu mesmo manda ver,uma total falta de respeito,Meu telefone esta desligando sozinho e nao liga novamente Como posso solucionar isso,boa tarde duvidas
305,obrigado por sua generosidade,valeu manda ver,uma total falta de respeito,telefone desligando sozinho nao liga novamente posso solucionar,Boa noite posso ajuda lo
306,obrigado por sua generosidade,valeu mesmo manda ver,nao quero mais ter qualquer envolvimento com isso,Nao consigo instalar um programa em meu computador,boa noite posso ajuda lo
307,agradeço por compartilhar seu tempo e talento,abraçao forte fica com deus,nao quero ter qualquer envolvimento,nao consigo instalar programa computador,Oi preciso de sua ajuda para solucionar um problema de lubrificaçao
308,agradeço compartilhar tempo talento,abraçao forte fica deus,nao quero mais ter qualquer envolvimento com isso,Estou tendo problemas para acessar meu e mail,oi preciso ajuda solucionar problema lubrificaçao
309,agradeço por compartilhar seu tempo e talento,abraçao forte fica com deus,uma total falta de consideraçao,tendo problemas acessar mail,Bom dia qual e o desafio
310,obrigado por sua ajuda inestimavel,tchauzinho se cuida,total falta consideraçao,Nao consigo instalar um programa no meu computador o que devo fazer,bom dia desafio
311,obrigado ajuda inestimavel,tchauzinho cuida,uma total falta de consideraçao,nao consigo instalar programa computador devo fazer,Boa tarde como posso ajudar
312,obrigado por sua ajuda inestimavel,tchauzinho se cuida,que desrespeito,Nao estou conseguindo acessar minha conta bancaria online O que esta acontecendo,boa tarde posso ajudar
313,agradeço por ser um colega de trabalho exemplar,xauzinho ate mais tarde,desrespeito,nao conseguindo acessar conta bancaria online acontecendo,Bom dia como faço para identificar problema de aquecimento em uma maquina
314,agradeço colega trabalho exemplar,xauzinho ate tarde,que desrespeito,Meu computador esta muito lento como posso melhorar seu desempenho,bom dia faço identificar problema aquecimento maquina
315,agradeço por ser um colega de trabalho exemplar,xauzinho ate mais tarde,nunca vi algo tao mal feito,computador lento posso melhorar desempenho,Ola como posso ser util
316,obrigado por sua dedicaçao incansavel,fui bom findi,nunca vi algo tao mal feito,Nao estou conseguindo imprimir documentos,ola posso util
317,obrigado dedicaçao incansavel,fui bom findi,nao da para acreditar nisso,nao conseguindo imprimir documentos,Oi tudo bem O que voce precisa resolver
318,obrigado por sua dedicaçao incansavel,vazando abraços,nao acreditar nisso,Minha impressora nao esta funcionando o que devo verificar,oi tudo bem voce precisa resolver
319,agradeço por sua atençao aos prazos,vazando abraços,nao da para acreditar nisso,impressora nao funcionando devo verificar,Ola preciso de sua ajuda para entender como funciona um PLC
320,agradeço atençao prazos,beijinhos sucesso,essa e a ultima vez que passo por isso,Minha TV nao esta funcionando o que devo verificar,ola preciso ajuda entender funciona plc
321,agradeço por sua atençao aos prazos,beijinhos sucesso,ultima vez passo,tv nao funcionando devo verificar,Oi em que posso ajudar hoje
322,obrigado por sua paciencia e compreensao,bora la meu parceiro,essa e a ultima vez que passo por isso,Meu computador esta lento e travando como posso resolver isso,oi posso ajudar hoje
323,obrigado paciencia compreensao,bora la parceiro,nao sou tratado com seriedade,computador lento travando posso resolver,Oi equipe
324,obrigado por sua paciencia e compreensao,bora la meu parceiro,nao tratado seriedade,Nao estou conseguindo instalar um aplicativo o que devo fazer,oi equipe
325,agradeço por sua postura profissional,valeu a força mano,nao sou tratado com seriedade,nao conseguindo instalar aplicativo devo fazer,Ola o que posso ajudar
326,agradeço postura profissional,valeu força mano,uma completa falta de profissionalismo,Estou recebendo mensagens de erro ao tentar utilizar um aplicativo o que devo fazer,Ola posso ajudar em algo
327,agradeço por sua postura profissional,valeu a força mano,completa falta profissionalismo,recebendo mensagens erro tentar utilizar aplicativo devo fazer,ola posso ajudar algo
328,obrigado por ser um exemplo inspirador,inte meu camarada,uma completa falta de profissionalismo,Meu notebook esta apresentando tela azul frequentemente,Ola preciso de ajuda
329,obrigado exemplo inspirador,inte camarada,nao ha justificativa para isso,notebook apresentando tela azul frequentemente,Ola o que precisa de soluçao
330,obrigado por ser um exemplo inspirador,inte meu camarada,nao ha justificativa,Estou com problemas para instalar um programa ha alguma soluçao,ola precisa soluçao
331,agradeço por sua eficiencia e eficacia,bjao fica com deus,nao ha justificativa para isso,problemas instalar programa ha alguma soluçao,Bom dia como posso lhe ser util
332,agradeço eficiencia eficacia,bjao fica deus,estou profundamente decepcionado,Meu celular esta travando muito o que posso fazer para resolver,bom dia posso util
333,agradeço por sua eficiencia e eficacia,bjao fica com deus,profundamente decepcionado,celular travando posso fazer resolver,E ai qual e a necessidade
334,obrigado por sua contribuiçao excepcional,paz e amor sucesso sempre,estou profundamente decepcionado,Como economizar energia em meu sistema industrial,ai necessidade
335,obrigado contribuiçao excepcional,paz amor sucesso sempre,nao fizeram o minimo necessario,economizar energia sistema industrial,Oi como posso resolver isso
336,obrigado por sua contribuiçao excepcional,paz e amor sucesso sempre,nao fizeram minimo necessario,Qual e a melhor forma de corrigir um problema de superaquecimento,oi posso resolver
337,agradeço pela sua atençao,ate mais meu brother,nao fizeram o minimo necessario,melhor forma corrigir problema superaquecimento,Oi tudo tranquilo
338,agradeço pela sua atençao,ate brother,nao posso aceitar esse tipo de serviço,Estou sofrendo com queda de produçao em minha linha de envase Como posso solucionar o problema,oi tudo tranquilo
339,obrigado pela sua ajuda voce foi muito util,ate mais meu brother,nao posso aceitar tipo serviço,sofrendo queda produçao linha envase posso solucionar problema,Bom dia pode me ajudar
340,obrigado pela sua ajuda voce foi muito util,valeu demais fica na paz,nao posso aceitar esse tipo de serviço,Minha maquina esta apresentando mau contato o que devo fazer,bom dia pode ajudar
341,muito obrigado pela sua ajuda voce foi incrivel,valeu demais fica paz,que desperdicio de tempo e dinheiro,maquina apresentando mau contato devo fazer,Oi em que posso ajudar
342,obrigado ajuda voce incrivel,valeu demais fica na paz,desperdicio tempo dinheiro,O robo da minha fabrica parou de funcionar como posso conserta lo,Boa noite alguem pode me ajudar
343,muito obrigado pela sua ajuda voce foi incrivel,manda bala meu chapa,que desperdicio de tempo e dinheiro,robo fabrica parou funcionar posso conserta lo,boa noite alguem pode ajudar
344,muito obrigado pela sua paciencia,manda bala chapa,uma verdadeira falta de compromisso,A luz indicadora do meu equipamento esta piscando isso e grave,Oi estou com uma duvida em relaçao a manutençao preventiva
345,muito obrigado pela sua paciencia,manda bala meu chapa,verdadeira falta compromisso,luz indicadora equipamento piscando grave,oi duvida relaçao manutençao preventiva
346,agradeço demais a sua dedicaçao,abraços sucesso sempre,uma verdadeira falta de compromisso,Poderia me ajudar com um problema na maquina de corte,Ola o que precisa
347,agradeço demais dedicaçao,abraços sucesso sempre,nao mereço ser tratado dessa forma,poderia ajudar problema maquina corte,ola precisa
348,agradeço demais a sua dedicaçao,bom descanso tamo junto,nao mereço tratado dessa forma,O sistema hidraulico do equipamento nao esta pressurizando como devo solucionar,Ola poderia me orientar
349,muito obrigado por resolver meu problema,bom descanso tamo junto,nao mereço ser tratado dessa forma,sistema hidraulico equipamento nao pressurizando devo solucionar,ola poderia orientar
350,muito obrigado por resolver meu problema,later sucesso,total falta de cuidado com o cliente,Meu maquinario esta apresentando problemas mecanicos O que devo fazer,Oi como faço para solucionar um problema de sobrecarga em uma maquina
351,agradeço pelo excelente serviço,later sucesso,total falta cuidado cliente,maquinario apresentando problemas mecanicos devo fazer,oi faço solucionar problema sobrecarga maquina
352,agradeço excelente serviço,cuida se meu camarada,total falta de cuidado com o cliente,Estou enfrentando dificuldades com minha rede eletrica voce pode me dar alguma orientaçao,Boa tarde por favor preciso de ajuda
353,agradeço pelo excelente serviço,cuida camarada,nao recomendo de forma alguma,enfrentando dificuldades rede eletrica voce pode dar alguma orientaçao,boa tarde favor preciso ajuda
354,muito obrigado por me orientar,cuida se meu camarada,nao recomendo forma alguma,Como resolver um problema de sobrecarga em meu chiller,Boa tarde posso ser util
355,obrigado orientar,valeu mesmo se cuida,nao recomendo de forma alguma,resolver problema sobrecarga chiller,boa tarde posso util
356,muito obrigado por me orientar,valeu cuida,estou indignado com essa situaçao,Nao estou conseguindo ligar o equipamento o que pode ser,Oi galera
357,agradeço a prontidao na resposta,valeu mesmo se cuida,indignado situaçao,nao conseguindo ligar equipamento pode,oi galera
358,agradeço prontidao resposta,manda ver sucesso,estou indignado com essa situaçao,Tenho problemas com a ventilaçao da minha maquina O que pode estar acontecendo,Oi preciso de ajuda para instalar um novo painel eletrico em minha industria
359,agradeço a prontidao na resposta,manda ver sucesso,isso ultrapassa todos os limites,problemas ventilaçao maquina pode acontecendo,oi preciso ajuda instalar novo painel eletrico industria
360,obrigado pela eficiencia,abraçao fica com deus,ultrapassa todos limites,Meu equipamento esta fazendo muito barulho O que pode ser,Ola preciso resolver um problema mecanico Algum especialista pode me ajudar
361,obrigado eficiencia,abraçao fica deus,isso ultrapassa todos o limites,equipamento fazendo barulho pode,ola preciso resolver problema mecanico algum especialista pode ajudar
362,obrigado pela eficiencia,abraçao fica com deus,nao ha palavras para descrever o quao insatisfeito estou,Estou com dificuldades para programar o meu equipamento o que devo fazer,Bom dia como identificar quais sao as peças que precisam ser substituidas
363,muito obrigado por me ajudar a entender,bom findi meu chapa,nao ha palavras descrever quao insatisfeito,dificuldades programar equipamento devo fazer,bom dia identificar quais sao peças precisam substituidas
364,obrigado ajudar entender,bom findi chapa,nao ha palavras para descrever o quao insatisfeito estou,Meu maquinario parece estar com um mau funcionamento o que devo fazer,Bom dia como identificar quais sao a peças que precisam ser substituidas
365,muito obrigado por me ajudar a entender,bom findi meu chapa,nao sou ouvido nem levado a serio,maquinario parece mau funcionamento devo fazer,Oi tudo certo
366,agradeço imensamente sua colaboraçao,vazando sucesso sempre,nao ouvido levado serio,Preciso de orientaçao para fazer a manutençao da minha maquina de forma eficiente,oi tudo certo
367,agradeço imensamente colaboraçao,vazando sucesso sempre,nao sou ouvido nem levado a serio,preciso orientaçao fazer manutençao maquina forma eficiente,Oi como posso auxiliar
368,agradeço imensamente sua colaboraçao,beijinhos meu parceiro,uma verdadeira bagunça organizacional,Qual e a melhor maneira de lidar com problemas de estanqueidade em equipamentos,oi posso auxiliar
369,obrigado por tornar tudo mais facil,beijinhos parceiro,verdadeira bagunça organizacional,melhor maneira lidar problemas estanqueidade equipamentos,Bom dia Qual o problema que esta enfrentando
370,obrigado tornar tudo facil,beijinhos meu parceiro,uma verdadeira bagunça organizacional,Estou com dificuldades em solucionar um problema com a bomba de agua da minha linha de produçao,bom dia problema enfrentando
371,obrigado por tornar tudo mais facil,bora la sucesso,que falta de respeito com o consumidor,dificuldades solucionar problema bomba agua linha produçao,Oi qual e a duvida
372,muito obrigado por sua generosidade,bora la sucesso,falta respeito consumidor,O motor da minha maquina esta superaquecendo o que fazer,oi duvida
373,muito obrigado por sua generosidade,valeu a força meu chapa,que falta de respeito com o consumidor,motor maquina superaquecendo fazer,Alguem pode me ajudar
374,obrigado por ser tao profissional,valeu força chapa,nao fui valorizado como cliente,Estou percebendo uma queda no desempenho de minha maquina O que pode causar isso,alguem pode ajudar
375,obrigado tao profissional,valeu a força meu chapa,nao valorizado cliente,percebendo queda desempenho maquina pode causar,Ola gostaria de saber mais sobre como solucionar falhas eletricas
376,obrigado por ser tao profissional,inte fica na paz,nao fui valorizado como cliente,Estou tendo problemas no controle de temperatura na minha produçao o que fazer,ola gostaria saber sobre solucionar falhas eletricas
377,muito obrigado pela sua dedicaçao continua,inte fica paz,estou cansado de tanta incompetencia,tendo problemas controle temperatura produçao fazer,Fala ai tudo ok
